BallNo,Description_1,Description_2,Description_3,Description_4,Characteristic,Measurement_1,Measurement_2,Measurement_3,Measurement_NO,CNC
94,氣嘴孔內側(裝胎側)平面平坦度,inner flatness of valve hole  ,(94)-氣嘴孔內側(裝胎側)平面平坦度,"氣嘴孔內側(裝胎側)平面平坦度
inner flatness of valve hole  ",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
95,花鼓安裝面直徑,hub dia.,(95)-花鼓安裝面直徑,"花鼓安裝面直徑
hub dia.",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
96,散熱孔PCD,cooling hole P.C.D.,(96)-散熱孔PCD,"散熱孔PCD
cooling hole P.C.D.",SC,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,銑床
97,散熱孔徑,cooling hole dia.,(97)-散熱孔徑,"散熱孔徑
cooling hole dia.",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,銑床
98,減重孔PCD,Lightning pockets P.C.D.,(98)-減重孔PCD,"減重孔PCD
Lightning pockets P.C.D.",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,銑床
99,安裝面溝槽直徑(內),Inner mounting groove diameter,(99)-安裝面溝槽直徑(內),"安裝面溝槽直徑(內)
Inner mounting groove diameter",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
100,安裝面溝槽直徑(外),Outer mounting groove diameter,(100)-安裝面溝槽直徑(外),"安裝面溝槽直徑(外)
Outer mounting groove diameter",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
101,平行度,Parallelism,(101)-平行度,"平行度
Parallelism",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
102,盤面安裝孔直徑,Disc mounting hole diameter,(102)-盤面安裝孔直徑,"盤面安裝孔直徑
Disc mounting hole diameter",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
103,中心培林孔直徑(非碟煞側),Center bearing hole diameter (non-disc brake side),(103)-中心培林孔直徑(非碟煞側),"中心培林孔直徑(非碟煞側)
Center bearing hole diameter (non-disc brake side)",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
104,中心培林孔深度(非碟煞側),Center bearing hole depth (non-disc brake side),(104)-中心培林孔深度(非碟煞側),"中心培林孔深度(非碟煞側)
Center bearing hole depth (non-disc brake side)",CC,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
105,中心孔外徑(非碟煞側),Center hole outer diameter (non-disc brake side),(105)-中心孔外徑(非碟煞側),"中心孔外徑(非碟煞側)
Center hole outer diameter (non-disc brake side)",SC,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
106,中心培林孔直徑(碟煞側),Center bearing hole diameter (disc brake side),(106)-中心培林孔直徑(碟煞側),"中心培林孔直徑(碟煞側)
Center bearing hole diameter (disc brake side)",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
107,中心培林孔深度(碟煞側),Center bearing hole depth (disc brake side),(107)-中心培林孔深度(碟煞側),"中心培林孔深度(碟煞側)
Center bearing hole depth (disc brake side)",CC,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
108,中心孔外徑(碟煞側),Center hole outer diameter (disc brake side),(108)-中心孔外徑(碟煞側),"中心孔外徑(碟煞側)
Center hole outer diameter (disc brake side)",SC,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
109,中心孔最內徑(碟煞側),Innermost diameter of center hole (disc brake side),(109)-中心孔最內徑(碟煞側),"中心孔最內徑(碟煞側)
Innermost diameter of center hole (disc brake side)",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
110,中心孔最內徑(非碟煞側),Innermost diameter of center hole (non-disc brake side),(110)-中心孔最內徑(非碟煞側),"中心孔最內徑(非碟煞側)
Innermost diameter of center hole (non-disc brake side)",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
117,花形孔PCD,Lug hole PCD ,(117)-花形孔PCD,"花形孔PCD
Lug hole PCD ",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,銑床
118,花形孔直徑,Lug hole diameter,(118)-花形孔直徑,"花形孔直徑
Lug hole diameter",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,銑床
119,花形孔深度,Lug hole depth,(119)-花形孔深度,"花形孔深度
Lug hole depth",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,銑床
120,內外培林安裝面距離,Distance between inner and outer bearing mounting surfaces,(120)-內外培林安裝面距離,"內外培林安裝面距離
Distance between inner and outer bearing mounting surfaces",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
121,高低差(碟煞側),Height differential (disc brake side),(121)-高低差(碟煞側),"高低差(碟煞側)
Height differential (disc brake side)",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
122,高低差(非碟煞側),Height differential (non-disc brake side),(122)-高低差(非碟煞側),"高低差(非碟煞側)
Height differential (non-disc brake side)",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
123,中心軸壁厚(碟煞側),Central hub wall thickness (disc brake side),(123)-中心軸壁厚(碟煞側),"中心軸壁厚(碟煞側)
Central hub wall thickness (disc brake side)",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
124,中心軸壁厚(非碟煞側),Central hub wall thickness (non-disc brake side),(124)-中心軸壁厚(非碟煞側),"中心軸壁厚(非碟煞側)
Central hub wall thickness (non-disc brake side)",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
125,RIM內部直徑(機車圈非碟煞側),RIM inner diameter (for the non-disc brake side of the wheel),(125)-RIM內部直徑(機車圈非碟煞側),"RIM內部直徑(機車圈非碟煞側)
RIM inner diameter (for the non-disc brake side of the wheel)",,三次元量床,Coordinate Measuring Machine,"三次元量床
Coordinate Measuring Machine",AP-001,車床
